tk,pt
260,1.00E+01
260,3.00E+01
260,1.00E+02
260,3.00E+02
260,1.00E+03
260,3.00E+03
270,1.00E-06
270,3.00E-06
270,1.00E-05
270,3.00E-05
270,1.00E-04
270,3.00E-04
270,1.00E-03
270,3.00E-03
270,1.00E-02
270,3.00E-02
270,1.00E-01
270,3.00E-01
270,1.00E+00
270,3.00E+00
270,1.00E+01
270,3.00E+01
270,1.00E+02
270,3.00E+02
270,1.00E+03
270,3.00E+03
275,1.00E-06
275,3.00E-06
275,1.00E-05
275,3.00E-05
275,1.00E-04
275,3.00E-04
275,1.00E-03
275,3.00E-03
275,1.00E-02
275,3.00E-02
275,1.00E-01
275,3.00E-01
275,1.00E+00
275,3.00E+00
275,1.00E+01
275,3.00E+01
275,1.00E+02
275,3.00E+02
275,1.00E+03
275,3.00E+03
280,1.00E-06
280,3.00E-06
280,1.00E-05
280,3.00E-05
280,1.00E-04
280,3.00E-04
280,1.00E-03
280,3.00E-03
280,1.00E-02
280,3.00E-02
280,1.00E-01
280,3.00E-01
280,1.00E+00
280,3.00E+00
280,1.00E+01
280,3.00E+01
280,1.00E+02
280,3.00E+02
280,1.00E+03
280,3.00E+03
290,1.00E-06
290,3.00E-06
290,1.00E-05
290,3.00E-05
290,1.00E-04
290,3.00E-04
290,1.00E-03
290,3.00E-03
290,1.00E-02
290,3.00E-02
290,1.00E-01
290,3.00E-01
290,1.00E+00
290,3.00E+00
290,1.00E+01
290,3.00E+01
290,1.00E+02
290,3.00E+02
290,1.00E+03
290,3.00E+03
300,1.00E-06
300,3.00E-06
300,1.00E-05
300,3.00E-05
300,1.00E-04
300,3.00E-04
300,1.00E-03
300,3.00E-03
300,1.00E-02
300,3.00E-02
300,1.00E-01
300,3.00E-01
300,1.00E+00
300,3.00E+00
300,1.00E+01
300,3.00E+01
300,1.00E+02
300,3.00E+02
300,1.00E+03
300,3.00E+03
310,1.00E-06
310,3.00E-06
310,1.00E-05
310,3.00E-05
310,1.00E-04
310,3.00E-04
310,1.00E-03
310,3.00E-03
310,1.00E-02
310,3.00E-02
310,1.00E-01
310,3.00E-01
310,1.00E+00
310,3.00E+00
310,1.00E+01
310,3.00E+01
310,1.00E+02
310,3.00E+02
310,1.00E+03
310,3.00E+03
320,1.00E-06
320,3.00E-06
320,1.00E-05
320,3.00E-05
320,1.00E-04
320,3.00E-04
320,1.00E-03
320,3.00E-03
320,1.00E-02
320,3.00E-02
320,1.00E-01
320,3.00E-01
320,1.00E+00
320,3.00E+00
320,1.00E+01
320,3.00E+01
320,1.00E+02
320,3.00E+02
320,1.00E+03
320,3.00E+03
330,1.00E-06
330,3.00E-06
330,1.00E-05
330,3.00E-05
330,1.00E-04
330,3.00E-04
330,1.00E-03
330,3.00E-03
330,1.00E-02
330,3.00E-02
330,1.00E-01
330,3.00E-01
330,1.00E+00
330,3.00E+00
330,1.00E+01
330,3.00E+01
330,1.00E+02
330,3.00E+02
330,1.00E+03
330,3.00E+03
340,1.00E-06
340,3.00E-06
340,1.00E-05
340,3.00E-05
340,1.00E-04
340,3.00E-04
340,1.00E-03
340,3.00E-03
340,1.00E-02
340,3.00E-02
340,1.00E-01
340,3.00E-01
340,1.00E+00
340,3.00E+00
340,1.00E+01
340,3.00E+01
340,1.00E+02
340,3.00E+02
340,1.00E+03
340,3.00E+03
350,1.00E-06
350,3.00E-06
350,1.00E-05
350,3.00E-05
350,1.00E-04
350,3.00E-04
350,1.00E-03
350,3.00E-03
350,1.00E-02
350,3.00E-02
350,1.00E-01
350,3.00E-01
350,1.00E+00
350,3.00E+00
350,1.00E+01
350,3.00E+01
350,1.00E+02
350,3.00E+02
350,1.00E+03
350,3.00E+03
375,1.00E-06
375,3.00E-06
375,1.00E-05
375,3.00E-05
375,1.00E-04
375,3.00E-04
375,1.00E-03
375,3.00E-03
375,1.00E-02
375,3.00E-02
375,1.00E-01
375,3.00E-01
375,1.00E+00
375,3.00E+00
375,1.00E+01
375,3.00E+01
375,1.00E+02
375,3.00E+02
375,1.00E+03
375,3.00E+03
400,1.00E-06
400,3.00E-06
400,1.00E-05
400,3.00E-05
400,1.00E-04
400,3.00E-04
400,1.00E-03
400,3.00E-03
400,1.00E-02
400,3.00E-02
400,1.00E-01
400,3.00E-01
400,1.00E+00
400,3.00E+00
400,1.00E+01
400,3.00E+01
400,1.00E+02
400,3.00E+02
400,1.00E+03
400,3.00E+03
425,1.00E-06
425,3.00E-06
425,1.00E-05
425,3.00E-05
425,1.00E-04
425,3.00E-04
425,1.00E-03
425,3.00E-03
425,1.00E-02
425,3.00E-02
425,1.00E-01
425,3.00E-01
425,1.00E+00
425,3.00E+00
425,1.00E+01
425,3.00E+01
425,1.00E+02
425,3.00E+02
425,1.00E+03
425,3.00E+03
450,1.00E-06
450,3.00E-06
450,1.00E-05
450,3.00E-05
450,1.00E-04
450,3.00E-04
450,1.00E-03
450,3.00E-03
450,1.00E-02
450,3.00E-02
450,1.00E-01
450,3.00E-01
450,1.00E+00
450,3.00E+00
450,1.00E+01
450,3.00E+01
450,1.00E+02
450,3.00E+02
450,1.00E+03
450,3.00E+03
475,1.00E-06
475,3.00E-06
475,1.00E-05
475,3.00E-05
475,1.00E-04
475,3.00E-04
475,1.00E-03
475,3.00E-03
475,1.00E-02
475,3.00E-02
475,1.00E-01
475,3.00E-01
475,1.00E+00
475,3.00E+00
475,1.00E+01
475,3.00E+01
475,1.00E+02
475,3.00E+02
475,1.00E+03
475,3.00E+03
500,1.00E-06
500,3.00E-06
500,1.00E-05
500,3.00E-05
500,1.00E-04
500,3.00E-04
500,1.00E-03
500,3.00E-03
500,1.00E-02
500,3.00E-02
500,1.00E-01
500,3.00E-01
500,1.00E+00
500,3.00E+00
500,1.00E+01
500,3.00E+01
500,1.00E+02
500,3.00E+02
500,1.00E+03
500,3.00E+03
525,1.00E-06
525,3.00E-06
525,1.00E-05
525,3.00E-05
525,1.00E-04
525,3.00E-04
525,1.00E-03
525,3.00E-03
525,1.00E-02
525,3.00E-02
525,1.00E-01
525,3.00E-01
525,1.00E+00
525,3.00E+00
525,1.00E+01
525,3.00E+01
525,1.00E+02
525,3.00E+02
525,1.00E+03
525,3.00E+03
550,1.00E-06
550,3.00E-06
550,1.00E-05
550,3.00E-05
550,1.00E-04
550,3.00E-04
550,1.00E-03
550,3.00E-03
550,1.00E-02
550,3.00E-02
550,1.00E-01
550,3.00E-01
550,1.00E+00
550,3.00E+00
550,1.00E+01
550,3.00E+01
550,1.00E+02
550,3.00E+02
550,1.00E+03
550,3.00E+03
575,1.00E-06
575,3.00E-06
575,1.00E-05
575,3.00E-05
575,1.00E-04
575,3.00E-04
575,1.00E-03
575,3.00E-03
575,1.00E-02
575,3.00E-02
575,1.00E-01
575,3.00E-01
575,1.00E+00
575,3.00E+00
575,1.00E+01
575,3.00E+01
575,1.00E+02
575,3.00E+02
575,1.00E+03
575,3.00E+03
600,1.00E-06
600,3.00E-06
600,1.00E-05
600,3.00E-05
600,1.00E-04
600,3.00E-04
600,1.00E-03
600,3.00E-03
600,1.00E-02
600,3.00E-02
600,1.00E-01
600,3.00E-01
600,1.00E+00
600,3.00E+00
600,1.00E+01
600,3.00E+01
600,1.00E+02
600,3.00E+02
600,1.00E+03
600,3.00E+03
650,1.00E-06
650,3.00E-06
650,1.00E-05
650,3.00E-05
650,1.00E-04
650,3.00E-04
650,1.00E-03
650,3.00E-03
650,1.00E-02
650,3.00E-02
650,1.00E-01
